time_s,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,P_bath_W,P_HX_W,UA_corr_W_per_K
430.09,7.168166666666666,5.92,-47.735,53.655,216.14497328310827,360.28330898061154,6.714813325516942
431.094,7.1849,5.905,-47.605,53.51,216.52984468119354,360.66818037869683,6.740201464748586
432.099,7.20165,5.890000000000001,-47.355,53.245,217.41837674766555,361.55671244516884,6.790435016342734
433.104,7.2184,5.87,-47.275,53.144999999999996,218.8231325899803,362.9614682874836,6.829644713284103
434.109,7.23515,5.93,-47.05,52.98,221.99231587294707,366.13065157045037,6.910733325225564
435.113,7.251883333333334,5.875,-46.894999999999996,52.769999999999996,223.64937443568164,367.78771013318493,6.969636348932821
436.119,7.26865,5.92,-46.795,52.715,224.84288832677788,368.9812240242812,6.999548971341765
437.124,7.2854,5.8549999999999995,-46.760000000000005,52.615,223.4113603948311,367.5496960923344,6.985644703836061
438.128,7.302133333333333,5.865,-47.07,52.935,228.96708684259525,373.1054225400985,7.04836917993952
439.134,7.3189,5.905,-47.3,53.205,227.80044179578104,371.9387774932843,6.990673385833744
440.138,7.335633333333333,5.83,-47.595,53.425,227.9600340498431,372.0983697473464,6.96487355633779
441.143,7.352383333333333,5.785,-47.8,53.584999999999994,223.26656452123805,367.4049002187413,6.856487827166957
442.148,7.369133333333334,5.779999999999999,-48.165,53.945,222.08619758871563,366.22453328621896,6.7888503714193895
443.153,7.385883333333334,5.83,-48.42,54.25,222.8690840213997,367.00741971890295,6.765113727537382
444.158,7.402633333333333,5.7700000000000005,-48.66,54.43,225.36064365507917,369.49897935258247,6.788516982410114
445.163,7.419383333333333,5.734999999999999,-48.919999999999995,54.654999999999994,226.87239695877568,371.01073265627895,6.7882304026398135
446.168,7.436133333333333,5.705,-49.09,54.795,224.08862645370596,368.22696215120925,6.720083258531057
447.173,7.452883333333333,5.779999999999999,-49.28,55.06,226.54135759481736,370.6796932923206,6.73228647461534
448.178,7.469633333333333,5.75,-49.489999999999995,55.239999999999995,227.9200963632112,372.0584320607145,6.735308328398163
449.182,7.486366666666667,5.725,-49.715,55.440000000000005,227.01907915678115,371.1574148542844,6.6947585651927195
450.188,7.503133333333333,5.715,-49.89,55.605000000000004,229.7100341608631,373.84836985836637,6.723286932081042
451.192,7.519866666666667,5.67,-50.07,55.74,233.6077752362675,377.7461109337708,6.776930587258177
452.197,7.536616666666666,5.6899999999999995,-50.245000000000005,55.935,235.80917553388667,379.94751123138997,6.79266132531313
453.201,7.55335,5.68,-50.405,56.085,240.4351923781878,384.5735280756911,6.856976519135083
454.207,7.570116666666666,5.665,-50.68000000000001,56.345000000000006,244.2006793714191,388.33901506892244,6.892164612102625
455.212,7.586866666666666,5.655,-50.730000000000004,56.385000000000005,247.15732670308157,391.2956624005849,6.939712022711445
456.216,7.6036,5.645,-50.785,56.42999999999999,249.95472220913467,394.09305790663797,6.9837508046542265
457.222,7.6203666666666665,5.635,-50.615,56.25,250.97545754270098,395.11379324020425,7.024245213159187
458.226,7.6371,5.585,-50.4,55.985,253.1376849746382,397.2760206721415,7.096115400056113
459.231,7.65385,5.609999999999999,-50.275,55.885,253.42897185296064,397.56730755046397,7.11402536549099
460.236,7.670599999999999,5.550000000000001,-50.065,55.614999999999995,256.00101162798234,400.13934732548563,7.194809805366999
461.241,7.6873499999999995,5.59,-49.815000000000005,55.405,258.78575857263496,402.92409427013826,7.27234174298598
462.245,7.704083333333333,5.57,-49.735,55.305,258.3613268653022,402.4996625628055,7.277816880260474
463.251,7.7208499999999995,5.63,-49.585,55.215,260.72151113590263,404.8598468334059,7.332425008302199
464.256,7.7376,5.565,-49.62,55.184999999999995,263.6516338259585,407.7899695234618,7.389507466222014
465.26,7.754333333333333,5.54,-49.765,55.305,263.69226921563774,407.83060491314103,7.374208569083104
466.266,7.771100000000001,5.53,-49.970000000000006,55.50000000000001,260.20528006797537,404.34361576547866,7.285470554332948
467.27,7.787833333333333,5.51,-50.26,55.769999999999996,260.8950633032245,405.0333990007278,7.262567670803798
468.275,7.8045833333333325,5.54,-50.53,56.07,266.0523903648819,410.1907260623852,7.315689781743984
469.28,7.821333333333333,5.4750000000000005,-50.745,56.22,272.6678288057206,416.8061645032239,7.413841417702311
470.285,7.8380833333333335,5.465,-50.95,56.415000000000006,270.8645647675245,415.0029004650278,7.356251005318226
471.289,7.854816666666666,5.475,-51.11,56.585,270.74557275930067,414.88390845680397,7.332047511828293
472.295,7.871583333333334,5.3950000000000005,-51.394999999999996,56.79,273.7684476440642,417.9067833415675,7.35880935625229
473.299,7.888316666666666,5.409999999999999,-51.56,56.97,271.9379460013922,416.0762816988955,7.303427798822108
474.304,7.9050666666666665,5.404999999999999,-51.675,57.08,276.9232464821346,421.06158217963787,7.376692049398001
475.31,7.921833333333334,5.36,-51.839999999999996,57.199999999999996,278.5003995853231,422.6387352828264,7.388789078371092
476.314,7.938566666666667,5.365,-52.0,57.365,279.6415297597889,423.7798654572922,7.387429015206
477.319,7.955316666666667,5.369999999999999,-52.11,57.48,283.5656741090365,427.7040098065398,7.440918750983643
478.324,7.972066666666667,5.369999999999999,-52.32,57.69,286.05778252066034,430.19611821816363,7.457030997021384
479.329,7.988816666666667,5.315,-52.400000000000006,57.715,285.1168416117714,429.2551773092747,7.437497657615432
480.333,8.005550000000001,5.324999999999999,-52.54,57.864999999999995,285.5411863299279,429.6795220274312,7.425551231788321
481.339,8.022316666666667,5.285,-52.625,57.91,287.94072189010404,432.07905758760734,7.461216673935544
482.343,8.03905,5.285,-52.85,58.135000000000005,288.1392772260977,432.277612923601,7.4357549311705675
483.348,8.0558,5.245,-52.945,58.19,291.2153877626187,435.353723460122,7.48159002337381
484.353,8.07255,5.23,-53.150000000000006,58.38000000000001,291.771479332314,435.9098150298173,7.466766273206873
485.358,8.0893,5.23,-53.265,58.495000000000005,293.5885961423757,437.726931839879,7.483151240958697
486.363,8.10605,5.24,-53.455,58.695,289.4255016660544,433.5638373635577,7.3867252298076105
487.367,8.122783333333334,5.27,-53.565,58.834999999999994,287.0651778272574,431.2035135247607,7.329030568959985
488.373,8.13955,5.255,-53.435,58.690000000000005,288.6297315694543,432.7680672669576,7.373795659685765
489.377,8.156283333333333,5.22,-53.285,58.504999999999995,288.12588582604036,432.26422152354365,7.388500496086551
490.382,8.173033333333333,5.155,-53.055,58.21,290.3131247489482,434.4514604464515,7.46351933424586
491.387,8.189783333333333,5.135,-52.835,57.97,287.9660684449889,432.10440414249217,7.453931415257757
492.392,8.206533333333333,5.175000000000001,-52.6,57.775000000000006,287.42266935893383,431.5610050564371,7.469684206948283
493.396,8.223266666666667,5.1499999999999995,-52.405,57.555,286.67933662057027,430.81767231807356,7.485321385076424
494.402,8.240033333333333,5.095000000000001,-52.225,57.32,286.2556430439944,430.3939787414977,7.508617912447622
495.407,8.256783333333333,5.16,-52.105000000000004,57.265,288.57519920134524,432.71353489884854,7.556335194252135
496.411,8.273516666666668,5.0649999999999995,-52.125,57.19,290.11326848460607,434.25160418210936,7.593138733731585
497.417,8.290283333333333,5.074999999999999,-52.24,57.315,291.9693341178857,436.107669815389,7.608962223072302
498.421,8.307016666666666,5.065,-52.47,57.535,291.84883588806997,435.98717158557326,7.577773035292836
499.426,8.323766666666666,5.005,-52.685,57.690000000000005,291.039681457817,435.1780171553203,7.543387366186865
500.431,8.340516666666666,5.01,-52.96,57.97,291.8080240206355,435.9463597181388,7.520206308748298
501.436,8.357266666666666,5.050000000000001,-53.255,58.30500000000001,291.07810032132807,435.21643601883136,7.464478792879364
502.44,8.374,5.01,-53.364999999999995,58.37499999999999,291.315684014674,435.4540197121773,7.459597768088691
503.446,8.390766666666668,5.0,-53.629999999999995,58.629999999999995,290.4810137343207,434.619349431824,7.412917438714379
504.451,8.407516666666668,4.984999999999999,-53.775,58.76,291.2484968068404,435.3868325043437,7.409578497350982
505.455,8.424249999999999,4.97,-54.065000000000005,59.035000000000004,290.0820249356659,434.2203606331692,7.355303813554149
506.461,8.441016666666666,4.944999999999999,-54.185,59.13,288.26574594904446,432.40408164654775,7.3127698570361535
507.465,8.457749999999999,4.915,-54.39,59.305,286.7806828494515,430.9190185469548,7.266149878542363
508.47,8.4745,4.925,-54.474999999999994,59.39999999999999,287.0453885043195,431.18372420182277,7.258985255922943
509.475,8.49125,4.930000000000001,-54.745000000000005,59.675000000000004,286.84510596645805,430.98344166396134,7.222177489132155
510.48,8.508000000000001,4.86,-54.830000000000005,59.690000000000005,282.5233337289114,426.6616694264147,7.147958944989356
511.484,8.524733333333334,4.875,-55.06,59.935,279.3938849613678,423.5322206588711,7.066525747207326
512.49,8.541500000000001,4.82,-55.254999999999995,60.074999999999996,277.1664681169789,421.30480381448217,7.012980504610606
513.495,8.55825,4.835,-55.415000000000006,60.25000000000001,279.4861174153343,423.6244531128376,7.031111254984856
514.499,8.574983333333334,4.84,-55.6,60.44,281.34159242975545,425.47992812725875,7.039707612959278
515.505,8.59175,4.825,-55.71,60.535000000000004,282.0436323817881,426.1819680792914,7.040257174845814
516.509,8.608483333333334,4.78,-55.855000000000004,60.635000000000005,280.36080767996646,424.49914337746975,7.00089293934971
517.514,8.625233333333334,4.785,-56.015,60.8,279.44503688496116,423.58337258246445,6.966831785895797
518.519,8.641983333333334,4.755,-56.08,60.835,272.75010407348213,416.8884397709854,6.852772906566703
519.524,8.658733333333334,4.7250000000000005,-55.9,60.625,275.1227362357963,419.2610719332996,6.915646547353395
520.529,8.675483333333334,4.7749999999999995,-55.66,60.434999999999995,275.51912603237406,419.65746172987735,6.943947410108007
521.534,8.692233333333332,4.755,-55.5,60.255,276.870715117777,421.0090508152803,6.987122244050789
522.539,8.708983333333332,4.695,-55.245,59.94,277.2012585924609,421.33959428996417,7.02935592742683
523.544,8.725733333333332,4.69,-55.06,59.75,280.13088030631815,424.26921600382144,7.1007400168003585
524.549,8.742483333333332,4.699999999999999,-54.894999999999996,59.595,276.6034996026452,420.74183530014847,7.0600190502583855
525.553,8.759216666666667,4.68,-54.690000000000005,59.370000000000005,277.62472271394626,421.76305841144955,7.103976055439608
526.559,8.775983333333333,4.665,-54.72,59.385,278.37917727006794,422.51751296757124,7.114886132315758
527.563,8.792716666666667,4.67,-54.84,59.510000000000005,275.36935689462166,419.50769259212495,7.04936468815535
