time_s,temp0_C,U1_bottom_C,U2_coilTop_C,U3_top_C,U4_coilMid_C,temp5_C,temp6_C,temp7_C,temp8_C,temp9_C,valve,mode,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,Strat_top_minus_bottom_C,dTbulk_dt_C_per_s,P_bath_W,P_HX_W,UA_corr_W_per_K
164.792,,7.76,-26.37,10.48,2.94,,,,,,1,O,2.7465333333333333,9.120000000000001,-11.715,20.835,2.7200000000000006,-0.011916459006574589,240.98655048995795,385.12488618746124,18.48451577573608
165.797,,7.68,-26.65,10.48,2.93,,,,,,1,O,2.7632833333333333,9.08,-11.86,20.939999999999998,2.8000000000000007,-0.012119626579211958,245.09520831140347,389.23354400890673,18.58803935095066
166.802,,7.7,-27.02,10.41,2.89,,,,,,1,O,2.7800333333333334,9.055,-12.065,21.119999999999997,2.71,-0.012136030510016844,245.4269450040707,389.565280701574,18.445325790794225
167.808,,7.63,-27.59,10.43,2.94,,,,,,1,O,2.7967999999999997,9.03,-12.325,21.354999999999997,2.8,-0.01221860107753507,247.09676959099176,391.23510528849505,18.320538763216817
168.812,,7.59,-28.19,10.52,2.85,,,,,,1,O,2.8135333333333334,9.055,-12.67,21.725,2.9299999999999997,-0.012056686664222582,243.82237441057333,387.9607101080766,17.857800235124355
169.817,,7.59,-28.88,10.48,2.84,,,,,,1,O,2.8302833333333335,9.035,-13.02,22.055,2.8900000000000006,-0.01220024559735408,246.7255667152916,390.8639024127949,17.722235430187936
170.822,,7.59,-29.39,10.48,2.84,,,,,,1,O,2.8470333333333335,9.035,-13.275,22.310000000000002,2.8900000000000006,-0.012132095920330077,245.3473757968352,389.4857114943385,17.457898318885633
171.827,,7.59,-29.91,10.48,2.87,,,,,,1,O,2.863783333333333,9.035,-13.52,22.555,2.8900000000000006,-0.01189149815239872,240.48176713595936,384.6201028334626,17.052542799089455
172.831,,7.52,-30.47,10.48,2.87,,,,,,1,O,2.8805166666666664,9.0,-13.799999999999999,22.799999999999997,2.960000000000001,-0.011492296677222518,232.40871570347105,376.54705140097434,16.515221552674316
173.837,,7.45,-30.86,10.41,2.84,,,,,,1,O,2.897283333333333,8.93,-14.01,22.939999999999998,2.96,-0.011372992215990158,229.99602158396902,374.1343572814723,16.309257074170546
174.841,,7.45,-31.33,10.45,2.85,,,,,,1,O,2.914016666666667,8.95,-14.239999999999998,23.189999999999998,2.999999999999999,-0.011177614727310735,226.04490263040503,370.1832383279083,15.963054692880913
175.846,,7.48,-31.64,10.44,2.81,,,,,,1,O,2.9307666666666665,8.96,-14.415000000000001,23.375,2.959999999999999,-0.011251065229009451,227.5302921262582,371.6686278237615,15.900262152888192
176.851,,7.48,-32.03,10.43,2.77,,,,,,1,O,2.9475166666666666,8.955,-14.63,23.585,2.9499999999999993,-0.01083409748101537,219.09795335857387,363.23628905607717,15.401157051349466
177.856,,7.39,-32.38,10.43,2.78,,,,,,1,O,2.9642666666666666,8.91,-14.8,23.71,3.04,-0.010853123386732678,219.482714249895,363.6210499473983,15.336189369354631
178.862,,7.35,-32.68,10.48,2.73,,,,,,1,O,2.9810333333333334,8.915,-14.975,23.89,3.130000000000001,-0.010684660468235447,216.0758886491255,360.2142243466288,15.078033668758007
179.866,,7.36,-33.01,10.45,2.78,,,,,,1,O,2.9977666666666667,8.905,-15.114999999999998,24.019999999999996,3.089999999999999,-0.010672210904812683,215.82412112802692,359.96245682553024,14.985947411554134
180.871,,7.38,-33.28,10.48,2.67,,,,,,1,O,3.0145166666666667,8.93,-15.305,24.235,3.1000000000000005,-0.010522747766075277,212.80152807334036,356.93986377084366,14.72827991627166
181.876,,7.36,-33.58,10.41,2.78,,,,,,1,O,3.0312666666666668,8.885,-15.399999999999999,24.284999999999997,3.05,-0.010368035114594894,209.67277412245258,353.81110981995585,14.569121260858797
